"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","docker"
122647,"Senior Data Analyst","Deliveroo","India","Full-time","111175.0","2023-09-05","","sql"
122647,"Senior Data Analyst","Deliveroo","India","Full-time","111175.0","2023-09-05","","tableau"
122647,"Senior Data Analyst","Deliveroo","India","Full-time","111175.0","2023-09-05","","looker"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","sql"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","python"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","excel"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","word"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","powerpoint"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","flow"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","jira"
679592,"Senior Data Analyst- Metal & Mining","Verisk","New Delhi, Delhi, India","Full-time","111175.0","2023-08-19","","confluence"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20","","sql"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20","","electron"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20","","excel"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20","","word"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20","","powerpoint"
